"post_id","cmt_author","cmt_content","cmt_created_at"
"7344622745","파트리크비에라","bmw나쁘다고 한 사람 없는데 왜이래?bmw 비호감작중임?","2024.08.10 12:12"
"7344622745","헬린이","여자들한테 벤츠는 맞은 말이긴 함불변의 진리","2024.08.10 12:12"
"7344622745","세델","헬린이 여자한텐 a클이 아재들이 타는 5시리즈나 제네시스보다명차지","2024.08.10 12:30"
"7344622745","헬린이","세델 ㄹㅇ ㅋㅋ","2024.08.10 12:41"
"7344622745","빨팅어","그렇군요","2024.08.10 12:13"
"7344622745","초긴축재정","bmw는 아직 양카이미지가 있는듯 ㅅㅂ꺼 내친구들이나 여친도 그런소리하더라ㅋㅋ","2024.08.10 12:15"
"7344622745","비엠더블유","???: 차는 벤츠지","2024.08.10 12:15"
"7344622745","싼붕이타고괴랜행","BMW 짱","2024.08.10 12:15"
"7344622745","대관람차도차다","연령대에 따른 선호도라고 봅니다","2024.08.10 12:18"
"7344622745","Jeppi","그런건 그냥 정보를 찾아보는 사람들한테나 해당하는 얘기인듯요.요즘 추세가 특히 코리아 기준으로는 bmw가 낫다는 얘기가 많이 나오는건 어느정도 맞는 얘기인거 같긴한데...차에 관심도 없는 사람한테 주는 삼각별의 힘이 있어요.","2024.08.10 12:19"
"7344622745","상경쥐","가성비ㅈ박은 c클이나 glc타는사람보면 다 여자던데","2024.08.10 12:21"
"7344622745","엘란트라","차 관심없고 브랜드만 보면 벤츠가 인기많긴해","2024.08.10 12:22"
"7344622745","19inch","비엠 화재건으로 아직도 소송중인것도 추가해주셈.나도 비엠 탔었지만 너무 벤까 아닌가??벤츠도 벤츠만의 장점이 있음 내연 엔진 열처리가 뛰어나고, 하체에 대해서 다른 브랜드들 대비 앞서나가는 점이 있고 ㅇㅇ","2024.08.10 12:22"
"7344622745","가솔린은시기상조","판매량 거의 비슷한데 ㅋㅋㅋ 독2사는 수요층 갈리는거 보면 걍 비슷하지","2024.08.10 12:23"
"7344622745","나인뮤지스민하","왜케화남","2024.08.10 12:23"
"7344622745","내가바로분식회계","s클이 24년만 쳐도 더 많이 팔지 않았나..?","2024.08.10 12:24"
"7344622745","내가바로분식회계","내가바로분식회계 심지어 23년도 전체도 s클이 개패는데..?","2024.08.10 12:27"
"7344622745","가솔린은시기상조","내가바로분식회계 그냥 한달 땃다고 ㅋㅋㅋㅋ 7시리즈 좋은차지만 bmw 딜러도 s클에는 안비빌텐데","2024.08.10 12:28"
"7344622745","내가바로분식회계","가솔린은시기상조 ㅋㅋㅋㅋ한달.. 솔까 s클은 이제 끝물이고 7시리즈는 이제 한창인데24년도 밀리는거면","2024.08.10 12:32"
"7344622745","ZF8HP","왜그래 나도 비엠 최애인데 이러면 다른 사람들은 반감 생겨ㅠㅠ","2024.08.10 12:24"
"7344622745","포테란","어쩔티비?벤츠 차주한태 처맞음?","2024.08.10 12:24"
"7344622745","ALEX","울 마눌은 bmw 빠입니다.","2024.08.10 12:31"
"7344394298","백엔드_개발자","조져야될 건 전기차가 아니라벤츠, 화재 관련 교육, 안전과 관련된 부분에 싸구려 자재 쓰는 건설업세가지임","2024.08.10 10:32"
"7344394298","K5gt","서울시 또다시 똥볼","2024.08.10 10:32"
