"post_id","author","content","time"
"7328315536","자동세차","n라인 부럽다","2024.08.05 23:51"
"7328315536","갓빠니","자동세차 100만원으로 감성이 달라요페리오닉산다면 무조건 n라인 추천","2024.08.05 23:56"
"7328315536","자동세차","갓빠니 n라인 계약하고 기다리다가 개인적인 사정으로 한달을 더 기다릴수 없어서 노멀오닉 들고왔네여슬픈현실","2024.08.05 23:57"
"7328315536","갓빠니","자동세차 아 아이오닉 타고계시는군요 저도 저렴이로 익스계약했다가 프레로 다시 갈까하다가n라인으로 왔네요 일체형 가니쉬부분하고 핸들의 유혹때문에..","2024.08.06 00:06"
"7328315536","자동세차","갓빠니 그 일체형 가니쉬가 핵심 이쁨인데 컨버전 하려고 알아보니재료값만 200나옵니다. ㅠㅠ","2024.08.06 00:07"
"7328315536","갓빠니","자동세차 미친 개비싸네요 익스 검정가니쉬는 싸고 교체가 쉽다고 들었는데..저도 프레로 해서 익스 가니쉬로 바꿀까 생각도 했었어요검정이 일체감있게 더 어울리는 느낌이라","2024.08.06 00:11"
"7328315536","자동세차","갓빠니 익스가니시는 재료비가 30정도면 되는데 재질이 좀 쌈마이느낌 납니다.동호회 모임같은데 가면 맞교환 할사람 좀 있을듯요","2024.08.06 00:47"
"7328315536","로포브","2열 승차감  패밀리카로 어떤가요","2024.08.06 00:10"
"7328315536","갓빠니","로포브 패밀리카로 너무 좋죠 실내 완전 넓고페리로 넘어와서 승차감 대폭개선되고 비전루프달면 2열에서 개방감도 좋습니다","2024.08.06 00:13"
"7328315536","로포브","갓빠니 시승해봤을때 트렁크만 살짝 아쉬웠음 프렁크랑4륜 넣으면 프렁크는 그냥 있다정도고 트렁크는 보스스피커 넣으면 밑에 공간이 확죽는게 아쉽...기존에 니로보다 트렁크가 커지긴 한데 확 커지는정도다 하는 느낌?","2024.08.06 00:14"
"7328315536","갓빠니","로포브 맞습니다 트렁크가 생각보다는 좀 작아서 아쉽긴해요프렁크는 공구들 넣는 공간으로 쓰고있네요 ㅋㅋ","2024.08.06 00:18"
"7328315536","로포브","갓빠니 프렁크는 확실히 테슬라가 부럽긴함 테슬라는 rwd 롱레 4륜모델도 프렁크 동일하다던데 기아는 메르디안 스피커 시스템 넣어도 트렁크 크게 안차지하던데 현대 보스 스피커 시스템이 문제인가..","2024.08.06 00:19"
