"post_id","cmt_author","cmt_content","cmt_created_at"
"7242614691","수수깡과새우깡","역시 갓-포티지","2024.07.13 00:17"
"7242614691","윤종신블루스","수수깡과새우깡 이정도면 20대 최고의 차...","2024.07.13 00:21"
"7242614691","청담호루라기","좀만 더 했으면 스텔스 폭격기 가는건데 아쉽네","2024.07.13 00:17"
"7242614691","윤종신블루스","청담호루라기 결제는 다음 환생때 할게요.","2024.07.13 00:21"
"7242614691","뚊뚊뚊뚊","A380이 크기는 지리는데","2024.07.13 00:21"
"7242614691","윤종신블루스","뚊뚊뚊뚊 다행히 외제차에는 큰 관심이 없어서...(?)","2024.07.13 00:21"
"7242614691","뚊뚊뚊뚊","윤종신블루스 나도 비행면허가 없어서 ㄲㅂ!","2024.07.13 00:22"
"7242614691","윤종신블루스","뚊뚊뚊뚊 이참에 도전하시죠","2024.07.13 00:53"
"7242614691","간음보살","??? 왜 내가 고민중인 테크랑 거의 유사하냐엑센트 위트, 뉴 크루즈즈 5, 올란도/티볼리, 산타페/투산 보다가 아 그냥 싼거 카렌스 나온다던에 그돈씨 이러는 중인데","2024.07.13 01:15"
"7242614691","윤종신블루스","간음보살 차 고르는 것은 피파 스쿼드 짜는 것과 같다...","2024.07.13 02:40"
"7242614691","간음보살","윤종신블루스 컄ㅋㅋㅋㅋ","2024.07.13 11:01"
"7242614691","26살모솔아다","쏘렌토 엔딩일줄 알았는데스포티지 이름값하네","2024.07.13 01:42"
"7242614691","윤종신블루스","26살모솔아다 여기서 더 가도 싼타페로 갈듯한...","2024.07.13 02:41"
"7242614691","26살모솔아다","윤종신블루스 난 쏘하 시그니처 계약해놨는데싼타페 실내랑 정전식 핸들 맘에 들긴해도디자인이 도저히 용납이 안 됨100년뒤여도 용납 못할듯..","2024.07.13 12:45"
"7242614691","윤종신블루스","26살모솔아다 저랑 정반대 성향이시군요","2024.07.13 13:00"
"7242614691","넣고빼고","올란텔?? ㄴㄴ음란도 ㅋㅋ","2024.07.13 16:31"
"7242614691","cococaca","신용대출 하신거에요?? 어디로 할부하셨어요??","2024.07.14 09:41"
"7020264384","자동세차","오닉5 페리처럼 싹 개선해서 나오면 좋을듯","2024.05.12 00:03"
"7020264384","보이루다요","내년에 나올듯","2024.05.12 00:09"
"7020264384","냥이는뚠뚠","오닉6n 존버","2024.05.12 00:12"
"7020264384","시스템컴퓨터","6페리가 진정한 완성형일듯","2024.05.12 01:08"
"7020264384","네잎클로바","앞눈깔 교체가 시급함 ㄹㅇ-","2024.05.12 09:39"
"7020264384","국냉이","문짝에 버튼 없는거 극혐이던데왜 가운데 몰아넣어가지고","2024.05.12 10:05"
"7020264384","순숭","2열 헤드룸은  페리 할배가 와도 답없음..","2024.05.12 10:33"
"7020264384","시스템컴퓨터","순숭 좌석 조금만 땡기면 그만임","2024.05.13 03:59"
"6984764002","던조센세","아직 해결 안되었을거에요원인 못찾아서Bol bul bok","2024.05.01 23:20"
"6984764002","스윗머스타드","해결은 안됐음","2024.05.01 23:28"
"6984764002","디올뉴코나","불안하면 내연기관 ㄱㄱ","2024.05.01 23:45"
"6984764002","아이육닉","난 필터 물새는건 없고iccu 이거는 글쎄? 다른 메이커도 bms 에러나 ccu 리콜 때리는 데 사람들이 잘 모를 뿐이지까이는 이유중 하나가 택시모델이다 이건데 iccu 가 건들면 고장나는 수준의 부품이면 이미 택시서 난리났을것택시로 ㅈㄴ 까던 분들도 iccu 이야기 나오면 택시는 없는모델되죠?당첨되면 ㅈ같겠지만 우려할 레벨은 아니다는게 여태 운용하면서 생각임","2024.05.01 23:48"
"6984764002","너가보인단말아","누수는 신차는 해결되서 나오고Iccu도 문제는 있는데, 걱정할만한 정도는 아닙니다.","2024.05.02 00:07"
"6962876834","퇴장","나 아이오닉5인데 에어컨필터 누수당첨된사례인데 그 위에 커버 교체하니깐 안새긴하던데","2024.04.25 21:21"
"6962876834","빠울라너","퇴장 으잉 아5도 있나요? 아6은 걍 구조결함이라던데.수리 받고 괜찮다는 분도 계시고.. 제가 차에 뭔가 관리를 많이 하거나 신경 많이 쓰는 스탈이 아니라 신경이 쓰이나 봅니다.","2024.04.25 21:24"
"6962876834","퇴장","빠울라너 일단 물샌지 1년좀 안된거같은데 그이후로 이상없긴하네요그리고 전비는 좀 밟으셔서 그런거 같은데 4륜20인데 저도 여름엔평균7식나옴 겨울엔 5잡고해서 1년평균 6정도나옴 아이오닉6이 5보다 전비가 좀더 잘나오는거 감안하면 더 잘나오긴할듯 저거보단","2024.04.25 21:25"
"6962876834","빠울라너","퇴장 중간에 국도에서 쫌 밟긴 했는데 제 운전 스타일 때문일수도 있을거 같습니다.전비가 좋다길래 제가 너무 기대했었나봐요","2024.04.25 21:30"
"6962876834","아이육닉","아6 안알려진 장점은 마이 드라이브 모드에서 스티어링 / 가속민감도 / 출력 개별조정 가능한거임","2024.04.25 21:23"
"6962876834","빠울라너","아이육닉 메뉴에서 봤습니다. 출력 따라서 주행거리 변하는것도 신기하더라구요 그리고 hud 완전 선명함..","2024.04.25 21:24"
"6962876834","세체정루시드","4륜 20인치라 그렇지 2륜 18인치 전비 개잘나오는 걸로 암","2024.04.25 21:24"
"6962876834","빠울라너","세체정루시드 어차피 시승차라 완전 풀옵션 사양만 있어서 그런듯합니다.2륜 18인치 떙기긴한데 원하는 옵션 중고가 없어서 매우 망설여짐","2024.04.25 21:25"
"6962876834","조ㅈ자룡","오닉6 살꺼면 18인치로 강추합니다","2024.04.25 21:26"
"6962876834","빠울라너","조ㅈ자룡 내년엔 보조금 증발할수도 있다고 하니 더 고민중입니다.2륜 18 풀옵 땡기는데..","2024.04.25 21:27"
"6962876834","조ㅈ자룡","빠울라너 갠적으론 4륜 18인치 강추요그리고 외장은 좀 어두운색으로 추천드림 검정색이나 회색","2024.04.25 21:27"
"6962876834","빠울라너","조ㅈ자룡 트랜스미션 블루도 괜찮아 보이던데..검정도 괜찮아 보이고 4륜 풀옵 중고 갔다가 18인치로 교환할 사람을 찾아야 하나 봐요","2024.04.25 21:29"
"6962876834","시스템컴퓨터","아6 2륜 18인치인데 평균전비 3.9 나오고 있음.새벽에 짧은거리라서 그런거고장거리 고속도로 올리면 6.0 이상은 나옴.아5페리 보면 내장제 친환경 버렸음 CCNC랑 내장제 생각하면 아6 페리가 맞는데언제나올려나...","2024.04.26 07:45"
"6861243518","118디320젤","차게 차 이름 검색하면 구매자들 견적서 금방 떠요","2024.03.28 01:13"
"6861243518","퇴장","보조금 1000만원 정도 받았다기준 풀옵 세금포함 6100정도 할듯 여기서 뭐 할인드가는 이벤트있으면 좀더까지는거고","2024.03.28 01:15"
"6861243518","시스템컴퓨터","아6 ccnc 적용된 후에 사야함","2024.03.28 01:41"
"6861243518","당근아5죠","특이취향이시네요","2024.03.28 06:36"
"6752832454","썩차닦는노인","목말라서 마셨답니다","2024.02.23 15:35"
"6752832454","fab4","썩차닦는노인 전화 ㅈㄴ했는데 안받다가 다시 전화옴다행히 바로 실수 인정하고 지금 와달래서 가려고","2024.02.23 15:37"
"6752832454","Iiopk","무슨 수리를 했길래 저길 ;;","2024.02.23 15:37"
"6752832454","fab4","Iiopk 저거 호스를 안꼽아놨다함; 그래서 다 샌듯","2024.02.23 15:39"
"6752832454","hodong","ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ","2024.02.23 15:38"
