post_id,cmt_content,cmt_author,cmt_created_at,cmt_updated_at,cmt_likes
1490408,"것도 건전지 공장인데 ㅋㅋ
핸드폰은 우찌 들고 다니냐 하세요",순천사랑I순천,2024-06-25 08:46:00,,
1490408,전기차 안타면되지요...ㅋ,선짱I부산,2024-06-25 08:47:00,,
1490408,원래 물건 살때는 돈 보태주는 사람 말고는 ... 뭘 사는지 알게 할 필요가 없죠~,hooㅣIoniq5n6ㅣ경기,2024-06-25 08:50:00,,1
1490408,"특이하게도 울 회사에선 전기차 산다니까 다들 ""와~! 오면 구경시켜줘""라고 하지 뭐 다른 걱정은 하나도 안하더라구요.",라투니IEV3I성남,2024-06-25 08:51:00,,
1490408,그 분들도 뭐 걱정이 되니까 그런 말씀들 하시는 거겠죠 ㅋㅋ 너무 스트레스 받지 마시길 바랍니당,반갑II5I고양,2024-06-25 08:53:00,,
1490408,핸드폰 어찌 들고다니냐고 물어보세요 터지는대~,김포lGV60l하루,2024-06-25 08:53:00,,
1490408,"몇년전 소방 관련된 기관에서  레이가솔린 레이EV로 화재시험을 했는데.  최대 온도는 가솔린이 더 높았어요.   그런데 이시험이 잘못된게.  레이가솔린은 기름통을 비우고,  전기차는 그대로 화재 시험을 했습니다. 그래서 시험조건이 잘 못 됐다고 하는 사람들이 있는데요.   그 후 왜 레이가솔린은 기름통 비우고 했냐고 하니까.  폭발할까봐 그랬다고 합니다. 과연 차량내부에 기름이 절반만 있었다면 어떤 결과가 나왔을지..지하주차장에서 내연차 화재시에 피해가 적었었는지 보면 크게 차이도 안나는거 같고요. 다만,  현재 전기차화재가 소화에 더 많은 물을 사용하고,  시간이 더 걸리는건 사실이죠.  코나, 볼트 등의 20건 정도의 화재만 배터리에서 시작된 화재고,  나머지는 그 외부분에서 시작된 화재기 때문에사람들이 우려하는 만큼  탈출 전 빠른 연소확대가 우려될 정도는 아니라고 개인적으로 생각합니다.",슬로우실버ㅣ오닉ㅣ충,2024-06-25 08:57:00,,
1490408,그냥 빨리 죽을란다..  하면 되죠.. ㅋㅋ,아이오닉66I전남순천,2024-06-25 09:20:00,,
1490408,"설득하려면 피곤해요 ㅋㅋㅋ 그냥 그래요?? 하고 무시하는 게 답!! ㅋ 
배터리 불나지 않냐 그러면 ㅋㅋ 내연도 불나요하면 됩니다 ㅋㅋ",다조아요I토레스I경기,2024-06-25 09:23:00,,
1490408,ㅎㅎㅎㅎ회사동료들 걱정스러운말투로 진짜 전기차 타게..? 이러네요.,손흥민IQ4이트론I인천,2024-06-25 09:24:00,,
