"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"polymorphism","@너구리자동차님
저도 이 차 덕분에 계속 쉐보레 차량만 기웃기웃 합니다 ㅎㅎ
쉐보레 스파크 수동 풀옵은 이제 곧 레어 아이템이 될 것 같은데 끝물에 잘 계약하셨네요! 즐거운 운행 되시길 바랍니다^^","17268783","2022-05-21 14:39:49",""
"포숑","11년 4월에 출고한 1세대 입니다. 운전석 시트열선 AS기간에 한 번 수리받고 다음 해 바로 나가서 그냥 탑니다.....
다행이 조수석은 엉따 잘되어서 무척 감사하게 생각하고 있습니다 ㅠㅠ","17268783","2022-05-21 14:38:55",""
"polymorphism","@포숑님
쉐보레 열선이 얇고 내구성이 취약하기로 유명하더라구요 ㅠㅠ 전 그냥 탑니다. 열선 없어도 괜찮드라구요.","17268783","2022-05-21 14:40:29",""
"x0123202","정말 아쉽게 급단종된 차 입니다. 가격이.. ㅜㅜ
그리고 하부커버 없이 배선이 그대로 드러나 있어서 이거도 좀 까였던걸로 기억하네요","17268783","2022-05-21 14:57:36",""
"polymorphism","@스리라차님
하부 커버는 개인적으로 문제로 보지 않아서 괜찮습죠. 화재는 되었던 것 같아요 ㅎㅎ","17268783","2022-05-21 15:50:14",""
"havik","지엠차이 특장점이 라이드 앤 핸들링인데. 티볼리와 핸들링 차이를 못느끼신다면 다음에는 굳이 gm차가 아닌 유지관리가 더 편한 브랜드로 가셔도 되지않을까 합니다.

2세대 크루즈는 구석구석 살펴보면 정말 왜 단가가 안맞는지.알 꺼같더라구요. 이 단가에 이걸 썻다고? 이런 느낌이
.","17268783","2022-05-21 14:58:33","2022-05-21 14:59:19"
"polymorphism","@havik님
라이드는 알겠는데 핸들링은 뭔 차를 타도 잘 모르겠더라구요 ㅎㅎ 산길을 가지 않는 한 대부분 직선 주행이구요 (좌회전 우회전이나 고속화도로나 도심 도로의 곡률은 굳이 핸들링으로 보지 않구요).

그리고 제 글을 보시면 아시겠지만.. 전 이보다 더 쉽게 유지보수를 할 순 없다고 생각해서, 딱히 지엠차가 유지보수에 문제가 있나 싶습니다 ㅎㅎ","17268783","2022-05-21 15:53:31",""
"방송부서","크루즈 전신인 뉴라세티 2005 9,000Km 뛴 중고를 구입하여 12년동안 17만Km를 타다 팔았던 추억이 있을정도로 매우 만족했었습니다.

이차는 매우 특이하게도 무거운 유압식 핸들에 아주 민감한 엑셀 감각인데 반해 브레이크 답력은 리니어한 감각이라 지금 타고 다니는 G70과 매우 흡사해서 곧바로 적응되더군요.","17268783","2022-05-21 17:56:15","2022-05-21 17:59:06"
"polymorphism","@방송부서님
크루즈 2세대는 엑셀 감각도 리니어한 편입니다. 제 기억에 현대차 중에서는 코나가 비슷했던 것 같아요.","17268783","2022-05-21 20:56:27",""
"리릿","1세대 크루즈는 국내 주도 설계고.. 사실 이 차가 은근히 GM을 먹혀 살렸죠.
2세대대는.. 이 즈음 부터 전세계 자동차회사에 모듈러 플랫폼 바람이 불었고, 크루즈가 그 첫 차였는데요.
이 모듈러 플랫폼 개발이 워낙 대규모 개발이라... 돈이 많이 들어갔습니다.
근데 한국에서 처음에는 주도 설계했는데.. 아시죠. 정치적인 문제로... 북미로 넘어갔고요.

그래서 나온게 크루즈입니다. 쉐보레가 가끔 미친짓을 하는데, 그 대상이 된 차죠.
콜벳 같은 느낌으로 만든 차 아닐까 싶습니다.
그 당시 GMK 엔지니어들이 2세대 크루즈를 보고, 이걸 어떻게 가격을 맞춰서 팔지?... 이랬던 차라고 들었습니다. ㅋ","17268783","2022-05-21 20:00:57","2022-05-21 20:01:18"
"polymorphism","@리릿님
크루즈 플랫폼인 D2XX 가 애초에 오펠 주도로 개발되었고, 오펠의 주력 차량인 아스트라에 사용되었죠. 오펠 아스트라가 보통 뷰익 베르노로 뱃지 엔지니어링 되었었기 때문에, 쉐보레에 비해 좀 가격이 있는 편이긴 했습니다.

크루즈 자체는 D2XX를 가져다 국내 개발하다가 북미로 넘어간 케이스로 알고 있긴 하고요.

근데 이게 또... 엄청 비싸게 잘 만들었다고 하기에는 유럽 아스트라 평이 동급 대비 썩 좋지 않고, 북미 쉐보레도 좋긴 한데 그렇다고 혼다 시빅이나 마쯔다 3를 넘어서는 평을 받은건 아니라 가격이 좀 애매하죠 ㅎㅎㅎ

개인적으로 국내 주도로 했으면 파워트레인 등에서 적당히 잘 타협을 해서 가격을 맞췄을거 같긴합니다.","17268783","2022-05-21 20:59:33",""
"천지로","올 뉴 크루즈 예약구매로 11만을 달리고 있습니다.굴당에 처음 올 뉴 크루즈 구매로 글 올린게 접니다 ㅋ
저도 쉐보레 서비스 센터에서만 정비를 했는데
고장난것은 네비모듈과 보조 제동등 크랙, 운전석 미등 , 핸들 가죽까짐 정도네요.
나머지는 오일류와 10만때 점화코일교체 정도네요. 타이어 교체는 타이어가 뜯어져서? CC+로 바꿨구요.
아직도 컨디션이 신차 수준입니다. 종종 워셔액 넣으려고 보닛 열어보면, 방음장치를 보면 감탄이 나옵니다. 앞유리도 풍절음 방지로 패킹 해놓은거 보면, 얘들이 얼마나 방음에 공을 들였나 알 것 같더군요.
솔직히 단종 안되고 멀티링크 단 RS모델(지금 RS모델은 외관만 다름)이 국내에 나왔으면 눈 돌아갔을 겁니다.

종합적으로 느낀점은 고장이 안나는 적절한 성능의 스포츠 성향 차량 같다는 느낌이네요. 차량 구매 당시 아반떼 스포츠와 고민 했는데, 그당시 현기차량들 핸들 잠김과 커플링 문제가 불거졌던 때라 패스했는데... 아반떼 스포츠 무상수리와 리콜도 있었죠? 얘는 아직도 그런게 없더군요. 솔직히 보조제동등 크랙은 무상수리 해야 하는거 아닌가 싶지만...","17268783","2022-05-22 09:03:34","2022-05-22 09:13:01"
"polymorphism","@천지로님
엇 핸들 가죽 까임은 저도 있는데, 나중에 엔진 오일 갈러 갈 때 물어봐야겠네요. (그냥 오래 타면 으레 그렇게 되는 줄)
엔진 방음과 풍절음 방음이 급 대비 상당히 괜찮아서 하부 소음만 잘 잡아주었으면 참 좋았을텐데 하는 아쉬움이 남습니다 ㅠㅠ
국내 주도로 생산해서 단종 안되고, 1.2T + CVT 올린 저렴한 트림부터 말씀하신 구성의 RS 트림까지 다양하게 시도해보았음 좋았을텐데 너무 아쉽죠. 말리부나 이쿼녹스 신형에 들어가는 신형 인포테인먼트 시스템도 크루즈와 잘 어울릴텐데 하는 아쉬움도 있구요.
지금껏 무상수리나 리콜이 없는게, 이게 팔린 대수가 얼마 없이 단종되서 그런건지 정말 깨끗한건지 의문이 들 때가 있긴하지만, 여튼 하나도 없다는게 참 좋아요 ㅋㅋ","17268783","2022-05-22 13:23:40",""
