"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"isfdd","380V 는 전기쪽에서는 저압으로 취급합니다
누전차단이나 과전류차단 대책은 잘 되있다고 보여집니다
계통의 화재대책문제는 크지 않은데
배터리에 붙은 불이 안꺼지는게 문제입니다
지하주차장이면 그냥 노답일거에요","15254006","2020-08-08 12:27:19","2020-08-08 12:28:20"
"크로론","호주산쇠고기님// 답변 감사드립니다. 그러면 저런 상황에서 스프링쿨러가 물을 뿌려도 감전위험은 적을거라는 말씀이신가요??","15254006","2020-08-08 12:53:46",""
"푸른미르","전기차 배터리에 불이 붙으면 물을 부어봐야 꺼지지 않고 적은 양은 물은 오히려 수증기화 해서 폭발할 수도 있죠. 스프링클러는 그래서 안트는게 좋아 보입니다. 만일 물을 부어야 한다면 대량을 물을 끼얹거나 물에 집어넣어야 할텐데 높이도 있어서 쉽지 않겠죠.
금속화재용 소화기(D형)나 리튬이온배터리 전용 소화기로 꺼야 할겁니다. 그래서 전기차 배터리화재시엔 오히려 스프링클러를 잠가야 할지도 모릅니다.","15254006","2020-08-08 13:44:39",""
"크로론","푸른미르님// 네. 저도 자세히는 몰라도 물뿌리면 안될거같거든요. 그런데 아파트에서은 그냥 연기나고 불나면 물뿌릴거같아서요.","15254006","2020-08-08 14:41:02",""
"Dreadnought","@크로론님 아파트 지하주차장에서 화재나면 위험하겠네요... 스프링클러가 자동으로 작동하도록 되어 있을텐데, 내연기관 자동차라면 그걸로 불끄면 되는데, 전기차는 도리어 위험하니.","15254006","2020-08-08 15:17:31",""
"리릿","전기차 충전을 할때 충전기랑 차량이랑 계속 통신을 합니다...
중간에 충전기든 차량이든 문제가 생겨서 통신이 안되거나, 혹은 에러코드를 보내면 바로 정지하죠.

그리고 전기차 화재는.. 이렇게 납니다.

폭발 수준이라 소화는 불가능해보여요.
그러니 그냥 스프링쿨러로 물 뿌려서 온도 낮추는게 최선인 것 같습니다.
소방관분들이 오기 전까지 말이죠.

물 뿌려서 폭발하면 위험한 이유는 타는 물질이 사방으로 비산하기 때문인데,
전기차는 뭐 별 문제 없지 않을까 싶어요. 타는 물질이 안쪽으로 꼼꼼히 패키징된 상태라...
비산해봐야 그냥 증기나 물 조금이죠.
차라리 그거 감수하고 온도 낮추는게 더 맞지 않나요? 물론 제 뇌피셜입니다. -_-","15254006","2020-08-08 15:38:21","2020-08-08 15:49:11"
"qsxs","@리릿님 밧데리 화재에 물을 뿌리면, 물이 알카리족 물질과 만나 시밤쾅! 하는 장면과 물이 수소로 분리되면서 2차 시밤쾅! 하는 장면을 볼수 있읍니다ㅋㅋ","15254006","2020-08-08 18:05:00",""
"물구나무서기","리튬은 물에 반응해서 물을 안뿌리는게 더 좋아요. 완전 전소될때까지 기다려야 해요.","15254006","2020-08-09 01:04:17",""
"mainjh","대외적으로 고객님 과실입니다","15253836","2020-08-08 10:54:09",""
"돌고래래","또 코나네요
저 화재는 대구 칠곡지역이라합니다.
지하 완속충전물렸는데 화재나면 불안해서 충전하겠나요;;","15253836","2020-08-08 10:55:20",""
"jidi-3rd","판매대수×주행거리 대비 화재비율이 압도적입니다.
테슬라의 100배는 되지않을까하는데요.
리콜이 필요한거 아닌가 합니다.","15253836","2020-08-08 10:55:24","2020-08-08 10:55:38"
"퍼피짱","또 또 코나 불 정말 압도적이군요","15253836","2020-08-08 11:05:01",""
"kudos","코나 충전 중이면 멀리 떨어져서 주차해야 하는 건가요? 흠..","15253836","2020-08-08 11:11:37",""
"graycode","코나 화재가 5~8월에 집중되어 있네요.
기온과 높은 SOC가 연관이 있지 않을까 싶은 ..","15253836","2020-08-08 11:18:45",""
"성수동Alex","@graycode님 설마요? 지하주차장인데요 높아봤자 30도 입니다.
ecu는 챔버에서 돌리면서 테스트해요.","15253836","2020-08-08 11:20:19",""
"graycode","@성수동알렉스님
인터넷에서 검색 가능한 것만 4월 1건, 5월 2건, 7월 2건, 8월 4건, 9월 1건인데요 ..
저렇게 화재가 나고 있는데 더운 여름에 SOC를 좀 낮게 유지해서 조심하는 게 나쁠 건 없지 않을까요.","15253836","2020-08-08 11:38:14","2020-08-08 11:39:00"
