"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"성수동정씨","(일단 이 글에서는 콜로세움이 안 열리길 빌며...) 투자적인 관점에서 $TSLA의 가장 큰 강점은 귀에 걸면 귀걸이, 코에 걸면 코걸이가 될 수 있는 게 아닐까 싶습니다. 테크, 인공지능, 자동차, 자율주행, 에너지, 심지어 금융(보험)까지 상당히 많은 섹터에 발을 걸치고 있고 대부분의 섹터에서 선방하고 있다고 생각하거든요. 개인적인 생각이지만 그럼에도 불구하고 지금의 주가는 이해가 가지 않지만요 -_-;","15780075","2021-01-09 09:08:04","2021-01-09 09:08:18"
"복순이아빠","일단 글에 공감하면서,
지금 테슬라의 주가는 하락하기만 하면 사려는 사람들이 대기를 타고 있는 형세인 것 같습니다.
이게 언제꺼지 갈지는 모르겠으나
지금은 전기차로의 전환기이고 이 변화가 어느정도 마무리 되지 않은한 당분간은 계속 되지 않을까 싶습니다.","15780075","2021-01-09 09:28:28",""
"SpaceCowboy","뭐 가상화폐도 미친듯 상승하는 데 테슬라는 양반이라고 봅니다.","15780075","2021-01-09 09:33:42",""
"seojin0","자율주행 범용 솔루션(nvidia등)에 대한 의견에 동감합니다.
무엇보다 안전, 보안, 신뢰성이 중요한 자동차에 범용 솔루션은 맞지 않죠.
(안드가 ios보다 상대적으로 오류,보안에 취약한것과 같이)
코나 화재 사건과 같이 책임소재가 분산되는 것도 소비자에게는 큰 문제입니다.
그런면에서 전용 생태계 끝판왕 애플이 테슬라와 직접 경쟁이 될 수도 있다고 봅니다.
모터로 인해 성능 인플레가 타이어 한계까지 급하게 이뤄져 업체간 격차는 줄어들고,
결국 인프라, s/w 싸움이 될 것이라 생각합니다.","15780075","2021-01-09 09:51:17","2021-01-09 12:43:11"
"Jun911","@드리븐님

말씀하신대로 ios 와 안드같이 그런 상황이긴한데 nVidia 입장에서는 안드같은 포지션의 자율주행 칩만 만들어낼 수 있다면 어마어마한 성과가
아닐까? 싶습니다.","15780075","2021-01-09 16:22:52","2021-01-13 04:28:51"
"js_76","슈퍼차져...2만개이상과 사용 편의성 , 중국에 올해 만개이상...타사 쉽게 못 따라 갑니다.
살짝 적어놓으셨지만...테슬라는 배터리, 태양광에너지 회사이며 상당한 위치에 올라가 있습니다. ESS또한 엄청나구요.
우리나라는 아파트 많아서 잘 못느끼지만.. 태양광에너지로 발전,저장,충전...많이 하거든요. 타제조사 이렇게 할수 있는곳이 없어요.
대량양산은 개발과 또 다른 차원의 어려움인데... BEV 대량양산체계 1위는 앞으로는 테슬라입니다.","15780075","2021-01-09 10:28:19","2021-01-09 12:57:16"
"선잎","자기 사업의 모든 부분을 알고 있고 설명할수 있는 대표는 몇 없을껍니다. 지금 주가는 좀 급하게 오른 면이 있습니다.
사람들이 말하길 10년치 주가를 끌어왔다고...
일론의 계획대로 발전만 한다면 10년뒤엔 또 그 뒤 10년치 만큼 끌어올껍니다..
얼마전 테슬라 트윗?에 세계 최고 부자 등극했다는 글에
일론은 '일이나 하러 가' 라고 댓글 적더군요..
바로 7개 더 추매했습니다.","15780075","2021-01-09 11:22:25",""
"EyesNoseLips","PER만 봐도 뭐 너무..
투자가 활활 타오르는 요즘도 있고
미래 가치에 대한 기대가 큰 그냥 가상화폐-like 아닐까 합니다.","15780075","2021-01-09 13:18:02","2021-01-09 13:19:08"
"쉬이크","잘정리해주셨네요. 근데 지금 주가를 설명해주신점 다 감안하고. 또다른 가능성까지 보고 올라온거라고 봅니다. (이미 엄청난 가치를 가지고 있다는..)

개인적으로는 올해 내년 많은 쓸만한 전기차가 나올 텐데요. 과연 테슬라가 자동차 업계의 애플이 될지 아닐지 예측할 수 있는 시기가 될 것 같습니다.

저는 자동차는 휴대폰과 다르다고 보기는 합니다.

참 fsd는 가격이 문제인데요. (한달에 몇십불은 아니고 2백불은 할 것 같은데 30%넘게 구독할까 싶습니다.)

저도 반자율주행 정밀 좋아하는데요. 지나봐야 알겠지만 fsd가 엇그제 폭설상황에 대응할 수 있는 건 상당히 먼 미래라고 봅니다.","15780075","2021-01-09 13:28:12","2021-01-09 13:33:21"
"Jun911","@쉬이크님

현재 옵션이 1만불이면 구독은 5년 기준으로 1만불을 채울 수 있는 정도의 가격이면 리즈너블 하지 않나 싶습니다.

8000-10000불짜리가 30% 채택률인데 구독으로 바뀌면 더 오를거라 보긴 합니다만

구독했다 끊었다 할 것 같기도 합니다 ㅎㅎㅎ","15780075","2021-01-09 16:25:44","2021-01-13 04:29:52"
