"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"fuelpipe","LFP 전기차. 저렴하면서 안전하고 반자율주행과
충전 편안함을 포함한 사용자 경험이 더 좋아지면,

??? : 시간이 지나면 삼원계 수입이 남으면 틀림없이 가격을 내릴 겁니다. :)","18226284","2023-08-04 17:20:22",""
"몸튼튼맘튼튼","태세전환 이네요.
모델Y LFP 들어올때는 싸구려 라고 하더니 현기 출시하니 상대적으로 저렴한이라는 표현 변화가~","18226284","2023-08-04 17:27:23",""
"골드임팩트","결국 싸게나옴 알아서 잘 팔리죠","18226284","2023-08-04 17:33:18",""
"우리요다이티","국산차가 달면 중국산배터리 단 차 군요;;;","18226284","2023-08-04 17:50:10",""
"Forecasting","국산차든 외제차든 중국산 배터리 차량에 보조금 지급 반대합니다
중국에서 그랬듯..","18226284","2023-08-04 18:12:25",""
"clsrn413","@Forecasting님 극공감 합니다.","18226284","2023-08-04 18:49:22",""
"SweetBeen","완제품으로 들어오는 중국산 유럽 브랜드도 있다보니 브랜드에 대한 신뢰로 크게 신경 안쓰는데 중국 토종 브랜드 완성차가 들어온다면 좀 꺼려질 듯 합니다.","18226284","2023-08-04 19:16:13",""
"팜3","토레스evx는 비슷한 가격 전기차 코나, 니로보다

크기는 한 체급 더 크고 트렁크는 거의 쏘렌토급

주행거리도 더 긴데 100% 충전으로 더 차이날꺼고

V2L도 있고 기본트림 구성도 상당히 좋고

대단한 상품성이더라구요

차박으로 전기차 찾는 분들이 좋아할만한 구성같아요","18226284","2023-08-04 20:26:01","2023-08-04 20:36:03"
"셀빅아이","개인적으로 재활용 안되는 LFP는 제한했으면 합니다.","18226284","2023-08-04 23:03:44",""
"미래의소년","마진을 많이 남기려고 LFP 쓰는 거죠. 배터리 가격이 싼게 장점인데 차량 판매가격이 저러면 거참..","18226284","2023-08-05 09:44:04","2023-08-05 09:44:17"
"프라이펜","토레스 EVX 상당히 땡깁니다 ㅎㅎㅎ","18226284","2023-08-05 11:08:16",""
"skino","@님 스탑앤고 심지어 잘 안되나요;;;","18224479","2023-08-03 21:55:55",""
"힝힝이","심지어 최신연식이네요..?","18224479","2023-08-03 21:50:20",""
"skino","@힝힝이님 그러니까요","18224479","2023-08-03 21:57:07",""
"니케니케","미국에선 리콜도 잘하군요.","18224479","2023-08-03 22:52:06",""
"skino","@니케니케님 우리도 본받아야 할게 있어 보입니다.
징벌적 배상금 같은?","18224479","2023-08-03 22:56:36",""
"fuelpipe","우리의 진화된 기술은…
한국의 “정”으로 남기고…
미국의 “정의”로 밑진다…","18224479","2023-08-03 23:24:51",""
"skino","@fuelpipe님 항상 미국에서 먼저 뭔가 나오는 느낌이에요.
횬다이가 미국회사였나.... ㅋ","18224479","2023-08-03 23:59:53",""
"프라이펜","우리나라는 리콜 안하나요?

클량에서도 이제 현기차 추천은 당분간 조심해야 할듯 합니다.... 이건 좀 심하네요.","18224479","2023-08-03 23:27:05",""
"Somwarm","@프라이펜님
어이쿠 무슨 리콜씩이나 국내에서 해주시겠습니까
인심쓰시면 무.상.수.리. 해주시겠죠
물론 그 인심도 써주시려나 모르겠습니다만..","18224479","2023-08-03 23:44:15",""
"skino","@프라이펜님 국내에도 이런 문제가 있나요? 있는데 쉬쉬하는건지..","18224479","2023-08-04 00:00:35",""
"선잎","@프라이펜님
아시잖아요.
옛다 주유권..","18224479","2023-08-04 00:08:04",""
"ffffff","그래도 우리나라에선 대중차영역 독점수준으로 잘팔리겠죠.","18224479","2023-08-04 08:09:58",""
"스친인연","미국에선 리콜, 한국에선 무상수리
현기차 = 한국 기업 맞음, 레알 진짜 맞음

역시 자국민이 호구네요","18224479","2023-08-04 09:21:04",""
"토마토","현기차는 미국에서 파는 거랑 같은 모델을 사세요.

그래야 결함 발견되면 리콜이라도 받을 수 있습니다.","18224479","2023-08-04 09:23:03",""
"그대로멈춰라","고갱님 미국 수출차와 내수 차량은 사양이 달라서 해당사항이 아니십니다를 시전할걸로 예상됩니다.","18224475","2023-08-03 23:35:37",""
