"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"네도리","분명.. MBC엔 $TSLA 숏 포지션을 가진사람이 있을것 같습니다…","18004493","2023-04-04 15:14:24",""
"danangsun","방송국만 그런게 아니라 커뮤니티도 똑같습니다","18004493","2023-04-04 15:22:29",""
"몸튼튼맘튼튼","MBC 도 광고 효과 좋다 어필?","18004493","2023-04-04 15:24:19",""
"힁둥이","궁금한게 테슬라에 대해선 대놓고 까고 현기차는 숨겨준다는건가요? 이걸로 테슬라 이미지는 점점 안좋아지고 현기는 문제 없는것 처럼 인식 할 수 있다는게 우려스러운거구요..?
관심없는사람 입장에서 테슬라나 현기전기차나 똑같은 전기차 발화로 인식되고 부정적 일텐데 굳이 명확하게 구분해야 한다면 화재사건이 테슬라 비해 현기가 많아야 한다는건데...모르겠네요.","18004493","2023-04-04 15:32:43",""
"리누","@힁둥이님

제가 알기로 국내 공급된 미국산 테슬라는 파나소닉으로 알고 있습니다.

LG엔솔은 코나, 볼트EV 등 리콜이 있었던 차종이구요.

화재건수, 판매량, 언론 노출 빈도를 볼때 테슬라가 화재 뉴스에 대표성 있게 나와야 할 이유가 딱히 없습니다.

국내 전기차 판매량 순위로 따져도 그렇구요



(표는 22년까지 데이터고 23년도 테슬라 화재로는 성수동서비스센터 모델X 화재, 충남 모델Y 사고후 발화가 있었습니다)","18004493","2023-04-04 15:40:05","2023-04-04 17:01:21"
"페르셰포네","@힁둥이님 아이오닉5 처럼 하부에 충격 가자마자 화려한 불꽃놀이 한 적이 있으려나요","18004493","2023-04-04 15:51:14",""
"힁둥이","@고재혁님 같이 묶어서 뭉뜬그려 생각하지 테슬라는 폭발전기차이고 현기는 괜찮은 전기차로 관심없게 생각할까요?","18004493","2023-04-04 16:00:27","2023-04-04 16:00:42"
"graycode","@힁둥이님
음.. 이것으로 어떤 대상은 대놓고 까고 어떤 대상은 숨겨준다고 단정할 수는 없죠..
MBC가 아이오닉5 화재 사실만 알고 EV6 화재 사실은 몰랐을 수도 있고.. 어쩌면 아이오닉5 화재는 중요도가 떨어진다고 보고 방송을 안했을 수도 있습니다.
또는..
방송을 했지만 제가 못찾았을 수도 있습니다.

그냥 특정 유튜브 채널의 다른 대상, 비슷한 유형의 사건에 대한 컨텐츠 차이가 있는 것은 사실입니다.

그리고 그것에 대해 어떻게 받아들이든 각자의 몫입니다.

https://www.clien.net/service/board/cm_car/17881946
CLIEN","18004493","2023-04-04 16:06:48",""
"힁둥이","@고재혁님 ㅎㅎ 해당건물은 어처구니없긴 하네요.","18004493","2023-04-04 16:08:10",""
"쿠리앙","@힁둥이님
테슬라 불났다는 뉴스를 보고 전기차 전체를 뭉뚱그려서 생각할 사람이 도대체 몇명이나 될까요??

예전에 bmw 화재 날 때 디젤차 전체로 뭉뚱그려서 생각하던가요?
코나 전기차 화재날 때 전기차 전체를 뭉뚱그렸던가요?
엠비씨 뉴스 이후에 지인들이 테슬라 팔고 다른 차 사라고.. 꼭 전기차 사고 싶으면 현대차 사라고 하는 얘기도 들었는데요.. 그 사람들이 뉴스 이해력이 떨어지는 사람인가요?

그렇게 뭉뚱그려서 전기차 전체의 위험을 지적하고 싶었으면 최근 불이 자주 나고 있는 '아이오닉5' 뉴스도 열심히 내보내고, 브랜드명도 테슬라처럼 정확하게 '아이오닉'이라고 얘기해도 될텐데 뉴스 조차 안내고 있다니 하는 말이죠..","18004493","2023-04-05 09:29:59",""
