"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"폭풍의눈","그럼 저거 통과해서 문제 발생하면 katri가 책임져주나요?
코드 리뷰어는 리뷰한 코드의 문제에 대한 책임이 있다고 생각하는데","16714615","2021-11-23 16:03:58","2021-11-23 16:04:38"
"ㅇ원숭이ㅇ","@폭풍의눈님 아.... 그렇게 되는 건가요? ㅎㅎ 뭐 부탄 가스나.. 뭐 그런거처럼 책임 보험 10억 가입? 뭐 그런거 하나 스티커 붙여 주려나요?

님께서 말해 주셔서 아.. 그렇네요... 했지만..
아마 님 댓글 없었으면..

아.. 인증만 강화되는 구나.. 라고 생각 했어요. ㅎㅎ","16714615","2021-11-23 16:13:31",""
"프레디.","@폭풍의눈님

인증 프로그램일뿐이라 해당인증기관이 테스트 자체에 문제가 있다거나 그런게 아니면 딱히 책임질 이유는 당연히 없지 않을까요?

관리감독문제는 해당기관이 실시하는게 아닐테구요","16714615","2021-11-23 17:33:09",""
"소프트코어","삼프로 방송에서 전문가는 시간이 지나면서 생기는 구조적 문제다 라던데..
저기서 몇개월 테스트 하려나요?","16714615","2021-11-23 16:13:54",""
"CaTo","@소프트코어님 그래서 보통 가속테스트를 하는데, 이래저래 가속테스트 하다보면 안맞는 부분들도 있고 이래저래 뭐든 롱텀 테스트는 힘들어요 ㅠㅜ","16714615","2021-11-23 18:06:47",""
"두끼먹고싶다","진짜 엘지 배터리가 전세계적으로 망신인거죠? ㅜ ㅜ","16704691","2021-11-20 11:00:44",""
"MBP13","얼만큼 고수익 보실 생각인지 모르겠지만 2차전지 ETF에 넣으니 반년동안 30% 수익나서 만족하고 있습니다. 관련 기업들 실적이 들쑥날쑥 하지만 섹터가 나중에 클 것이라고 믿음이 있다면 묶음세트가 더 마음이 편하네요.","16697151","2021-11-18 01:23:32","2021-11-18 01:23:39"
"중간보스","https://m.blog.naver.com/ytjimi/220952889153","16682199","2021-11-12 13:51:47",""
"자랑스러운","@중간보스님 감사합니다. US + 돼지코네요","16682199","2021-11-12 14:06:34",""
"IDK-N","모두 안맞는 규격입니다. 그나마 EU 규격이 비슷하여 사용은 할수 있습니다만
콘센트 코가 원형인데, EU는 같은 원형이지만 원 사이즈가 더 작습니다.
그래서 헐거워서 흔들립니다. 그로 인해 화재 및 고장이 발생 할수 있습니다.
제가 추천 하는 방법은 일자 형태의 US (미국) 타입을 사서 돼지코를 철물점 혹은
알파문구 등에서 사서 끼워쓰는 겁니다.
아니면 직구를 많이 하시면 샤오미 멀티탭 같은 각종 타입을 모두 지원하는
멀티탭을 구매해서 직구품을 거기 끼워쓰는 방법이 있습니다. 전 이렇게 씁니다.","16682199","2021-11-12 13:54:40","2021-11-12 13:55:31"
"고요재","@IDK-N님
빙고~정답입니다~.","16682199","2021-11-12 14:00:10",""
"자랑스러운","@IDK-N님 감사합니다. 제가 모양이 비슷해서 EU 로 했는데요, 두시간 전에 주문했는데 벌써 출발했나봐요. ㅡ,.ㅡ 이렇게되면 그냥 버려야하는건가요?","16682199","2021-11-12 14:07:08",""
"IDK-N","@자랑스러운님 아뇨 위에도 적었지만 돼긴 됩니다. 헐거울 뿐이예요.
뭔가 움직이지 않게 잡을 방법이 있다면 억지로 사용 가능하고, (주구장창 껴놓고 쓰기
에는 위험합니다. 고장 및 화재의 위험이 있어요.) 고급형 돼지코 로 검색하면 끼우는
콘센트 타입 상관없이 쓸수 있는 돼지코가 있습니다. 그걸 쓰시면 되요.","16682199","2021-11-12 14:13:26","2021-11-12 14:15:23"
"자랑스러운","@IDK-N님 고급형 돼지코 찾아볼게요. 감사합니다.","16682199","2021-11-12 14:14:36",""
"밤눈이","US로 하고 돼지코를 씁니다.","16682199","2021-11-12 13:57:48",""
"자랑스러운","@밤눈이님 네. 2시간 전에 EU 로 이미 해버려서 ㅡ,.ㅡ 벌써 출발했나봐요. 어떻게해야할지 난감하네요.","16682199","2021-11-12 14:07:38",""
