"post_id","cmt_content","cmt_author","cmt_created_at","cmt_updated_at"
"팜3","검증한 기술 사용했다면서도 불나는것 보다는 나아 보입니다

요즘 코나ev 결함 보면 전기차에서 가장 심각한건 배터리 화재 같아요

저도 전기차 타는 입장에서

솔직히 화재 결함 없는 차라지만 그래도 불안해져요


오토파일럿 베타란 의견은

타 주행보조가 베타라는 오토파일럿 보다 나은게 별로 없는 싯점에서는

이미 그 설득력이 많이 떨어지는것 같아요","15451513","2020-10-06 10:43:31","2020-10-06 10:50:45"
"또탈퇴된코란","소송천국 미국에서 잘 굴러가니...","15451513","2020-10-06 10:45:03",""
"Bryan","‘사람이 직접 운전하는 것보다 더욱 안전하다고 이미 확인되었기 때문입니다.’
이 문구 중에서 확인이라는 말이
과연 누구에게서 확인되었는지가 쟁점이 되겠네요.
적절한 인증기관을 통하지 않은 개인적인 ‘확인’이라면 누구나 불안할 수 밖에 없죠.","15451513","2020-10-06 10:46:29","2020-10-06 10:46:49"
"Usta","이건 통계로 반박 불가에요.
오파 써보면 정속 할배로 가게됩니다.
오히려 오파 끄고 다이나믹하게
변신하는 자신에 놀라죠... ㄷ ㄷ@Bryan님

하지만 시기상조입니다","15451513","2020-10-06 10:49:24","2020-10-06 10:49:46"
"호비브라운","@배꼽잡아님 증빙 자료를 가져오면, 표본이 의심스럽고.. 개인적으로 타진요가 생각나네요..
테슬라 시기하는 경쟁자나 언론은 놀고 있겠습니까? 표본이 건전하지 않으면 득달같이 달려들어서 태클을 걸었겠죠. 정 이게 불만이면 당장 의심하는 분들이 찾아보시는 것도 나쁘지 않겠군요.","15451513","2020-10-06 15:27:51","2020-10-06 15:28:23"
"호비브라운","@배꼽잡아님 호오... 시총 1위 차 회사가 무플을 받는 시대군요...
사실 반박하기도, 누구나 객관적이라고 동의할 만한 테스트가 불가능하죠. 자율주행 구현방법부터 방침도 다 다른데 어떻게 실험해야 공평하고 객관적인 것인지.
결국 테슬라가 스스로 낸 보고서에 의존해야 되는데 외부인이라면 얼마든지 태클 걸 수 있겠죠.
댓글을 읽다보니 궁금한 건.. 테슬라 측의 자료에 반박하고 싶은 건지, 테슬라 사고율이 낮다는 걸 부정하고 싶은 건지 궁금해지네요","15451513","2020-10-06 20:59:28",""
"블루자바","검증 잘해서 불타는 최첨단 현기 전기차 코나를 살수는 없자나요","15451513","2020-10-06 10:46:39",""
"Dr. Hoo...","사실 광범위한 검증을 거치고 내보낸다고 하기는, 오파가 버그가 너무 많습니다.. 버전 올라가면서 고쳐지기도 하고 뭔가 더 생기기도 하고 이러고 있으니..ㅋㅋㅋㅋ 오파를 많이 쓰는 입장에서는 딴짓만 안 하면 위험할 것 같지는 않지만요..","15451513","2020-10-06 10:51:47",""
"seojin0","http://electimes.com/article.php?aid=1596686988203025094

같은 테슬라 차량에서 사고 발생 빈도입니다

오토파일럿 사용시 : 730만km당 1건

오토파일럿 미사용시 : 365만km당 1건

오토파일럿과 액티브 세이프티 미사용시 : 250만km당 1건

미국 평균 : 77만km당 1건

이럴것이다 하는것보다 데이터로 보여주는게 낫겠죠","15451513","2020-10-06 10:52:52",""
"Dedanhe","@드리븐님


평균 속도 사용장소 등에 따른

통계적인 일관성 많이 떨어지는 자료로 알고 있어요","15451513","2020-10-06 10:56:29",""
"Usta","국내도 모델3 초보 필수 사고 2종세트(주차장 진출입, 주차장 기둥박기) 사고가 많더군요.

오파 쓰다가 사고난 모델3 사례 별로 없지 않나 싶어요(오파 조작미숙 미포함:오파 풀린지 모르고 방심, 오파 걸린줄 모르고 방심 등등)

@드리븐님","15451513","2020-10-06 10:57:11",""
"RuBisCO","@드리븐님 데이터 오염 터진게 뽀록난지가 옛날이죠. NHTSA는 우리는 모릅니다 하고 모르쇠로 일관하고 있고요.","15451513","2020-10-06 11:06:46",""
