"post_id","cmt_author","cmt_content","cmt_created_at"
"7055239878","빨팅어","뽑기조지는거아닌이상 센터갈일이있나사고나는거뺴면없을듯","2024.05.21 12:28"
"7055239878","켜놓고책읽음","빨팅어 그러네요 에어컨 필터교체처럼 간단한 건 셀프로도 되겠죠?","2024.05.21 12:34"
"7055239878","K5gt","창원정도면 무난할듯","2024.05.21 12:29"
"7055239878","켜놓고책읽음","K5gt 그나마 부산이랑 가까워서 다행인듯","2024.05.21 12:36"
"7055239878","자동세차","충전은 이젠 아무 충전기나 다 되니까 큰 상관은 없는데센터 접근성때문에 고장생기면 여전히 문제좀 될듯테슬라도 bms 잘뜬다ㅎ","2024.05.21 12:29"
"7055239878","켜놓고책읽음","자동세차 ㄹㅇ전시상인가","2024.05.21 12:36"
"7055239878","전지현.","진해사는친구 테슬라타고다님걱정 ㄴㄴ","2024.05.21 12:30"
"7055239878","켜놓고책읽음","전지현. ㄳㄳ","2024.05.21 12:35"
"7055239878","이브짹스","창원인 ㅎㅇ 고향 창원 ㅋㅋ","2024.05.21 12:43"
"7055239878","켜놓고책읽음","이브짹스 창원 sbrt인가 뭔가 한다고 도로 십창내놔서 망함 살려줘","2024.05.21 12:44"
"7055239878","이브짹스","켜놓고책읽음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 유튜브로 봤음 ㅋㅋㅋ","2024.05.21 12:47"
"7055239878","무시닝","충전만 괜찮다면 뭐...센터 갈 일 초기 결함 잡을꺼 있으면 갈 때 말고 없는거 같음.","2024.05.21 13:16"
"7050186560","30년째모태솔로","난 좋다고 봄.. ICCU는 리콜됬으니까 무상 될거고, 아직 배터리문제생긴경우는 잘 없고..잔고장외에는 없을듯?","2024.05.19 23:46"
"7050186560","펩제부","30년째모태솔로 전기차 카페 보니까 또 그렇게 고장 안 나는것도 아닌거 같아서 고민되네 모터감속기는 몇백씩 하는데 고장나서 수리했다는 글들도 많고 그런거때문에 택부 비추천하는 댓글도 많아서","2024.05.19 23:50"
