id,title,content,likes,url,author,views,created_at,updated_at
1447643,"기아 EV3, 6월부터 국내 양산…하반기 글로벌 출시","기아 EV3, 6월부터 국내 양산…하반기 글로벌 출시기아가 전기차 라인업인 EV 시리즈 중 소형 스포츠유틸리티차량(SUV) 모델인 EV3를 오는 6월부터 국내에서 양산한다.6월 양산을 시작으로 하반기 EV3를 국내·외 등 글로벌 시장에 본격 출시하고, EV4, EV6 상품성 개선 모델 등과 함께 신차 효과를 누린다는 구상이다.기아는 26일 1분기 실적 발표 이후 열린 컨퍼런스콜에서 ""EV3가 6월부터 국내에서 양산될 예정""이라면서 ""양산 시점 이전에 차량 가격을 공개할 것""이라고 밝혔다.기아는 지난해 말 플래그십 대형 전기 SUV EV9을 출시하고 글로벌 시장을 공략했지만 1억원을 호가하는 가격 부담 등으로 기대 이하의 판매량을 기록한 바 있다.https://news.einfomax.co.kr/news/articleView.html?idxno=4307499",1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1447643&referrerAllArticles=true,톰I서울,"2,500",2024-04-26 20:45:00,
1446067,전기차 아파트 주차 문제,"전기차 구매 예정자예요.더뉴아이오닉 신청후 대기중인데 최근 아파트내 전기차 충전기를 모두 지상으로 옮겼어요.그건 충전중 화재우려 때문에 이해합니다만,지하주차장에 주차 자리가 부족함에따라주민들이 전기차는 전기차 자리에 주차해줬음 좋겠다는 목소리가 나오고, 관리사무소에서는 전기차는 전기차구역에 주차하라는 권고가 있네요.이러다가 지하주차장 주차 불가가 되어버릴까 걱정인데그럴일은 없을까요?",0,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1446067&referrerAllArticles=true,jiyul,635,2024-04-24 13:13:00,
1443993,코나ev 중고차 어떤가요?,코나ev 중고로 구매하려고 생각하고있는데어떤점을 주의해야 하나요??코나가 입문하기에 좋다길래 생각중입니다ㅎㅎ,1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1443993&referrerAllArticles=true,송림I세종,750,2024-04-21 16:04:00,
1441120,"[질문]
                                
                                

                                
                                
                                    아반떼 하브 VS 코나 EV 선택장애입니다..","첫차입니다. 2월에 아반떼 하브 계약하고 왔습니다.풀옵션으로 계약을 걸어서 3060만원 입니다.다나와 기준으로 취등록세 포함하면 3260정도 나오네요다나와에서 검색만 해봐서 재고가 있는지는 모르겠지만코나 EV 재고차 잡는다는 가정하에 가능한 할인 받으면 중옵에 원하는 옵션별로 취등록세 포함 3600~3800정도까지 나오더군요..아반떼와 400~600정도 차이라.. 그래서 고민입니다.(재고차 할인이 100~300 입니다.)전기차에 대한 주변 환경은집밥 500세대가 충전기 4대를 사이좋게 나눠쓰고 있습니다. 낮에는 자리가 있는 경우가 가끔 보이던데, 밤에는 거의 없습니다.회사밥 직접 확인은 안해봤는데정부건물 같이 쓰고 있어서 지도로 검색되는 충전기만 30~40개에 지도로 확인하면 업무시간에도 남아돕니다.회사는 왕복 30km 정도 거리에 위치해있습니다.아반떼 하브는 그냥 주유소 많이 가기 귀찮은 것도 있고하이브리트차 운전하면 그 모터가 밀어주는 느낌이 좋아서 갬성으로 하브했습니다.연말까지 돈은 계속 모으긴 할텐데, 아반떼 하브 완납할 정도는 모을거 같네요아반떼 하브 풀옵을 계속 기다리고 사야할지연말까지 돈을 모아서 코나 ev를 사야할지..(ev3가 중간에 ev3 구매를 목표로 할 것 같습니다.)물론 가슴은 코나EV가 맞다고 전기차로 가게 하는데하브에서 전기차로 갈아타는게 장점도 명확하고 단점도 명확해서 고민에 빠져있습니다.혹시 저랑 비슷한 고민을 하신 분이 계신가요..추가로 아반떼와 코나 EV의 옵션차이도 다릅니다..400정도 차이가 옵션 차이라고 생각하면 또 이렇습니다.빌캠 1 -> 빌캠 2 (증강현실 뭐시기)HDA -> HDA 2HUD (X) -> HUD (O)5W -> ccNC긴글 읽어주셔서 감사합니다.글을 적다보니 코나ev가 더 사고 싶네요..이게 맞는 선택일까요..",0,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1441120&referrerAllArticles=true,서울KE사울,"2,725",2024-04-16 23:25:00,
1439913,볼트EV VS 코나EV VS 니로 EV VS 쏘울부스터EV,"중고 전기차로 입문해보려고하는데볼트 EV 배터리 리콜로 인하여 가성비 좋다하여 알아보고코나 EV 도 비슷한 맥락인데 평가가 좋아서 알아보고 있었는데그런데 얼마전에 화재기사가 또나왔네요. 물론 일부로 배터리 리콜 늦게하려는 몇몇 차들에서 난 사고는 맞지만괜시리 아파트에서 눈치보여서 볼트, 코나 말고 또 평가가 좋은 니로 EV를 기웃거리게 되네요.쏘울부스터는 4개중에서 가격대가 좀 높아 보이더군요.알아보면 계속 볼트 신형 EUV도 보게되고 이러다가 점점 가격대가 높아지다가 ㅋㅋㅋ다시 아 이건 아니다 다시 니로부터 기웃거리고 무한고민 반복중이네요 ㅋㅋㅋ캐스퍼, EV3 나올때까지 참았다가 어케 나올지 확인하고 판단할까 싶기도하네요.여러분들이 생각하는 구 전기차중 가성비 갑은 무엇인가요?",1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1439913&referrerAllArticles=true,씨스루I서울I,"1,326",2024-04-15 10:46:00,
1439791,타본사람만 전기차 탄다는말 이해가네요,코나ev 데리고 와서 첫 고속도로 주행인데반자율도 좋고 특히 충전비(아파트 휴맥스ev)인데..반남은 상태에서 95프로 충전하니 4천원 ㄷㄷ주행가능거리 513km 뜨고 고속도로(출근 45km정도)남은주행거리 479km거기에 톨비반값..이맛이군요....메인으로 k7 lpi 있는데(와잎차)못탈꺼같습니다 ㅠ 흑입문용으로 타다가 업글해야겠어요 ㅠ,0,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1439791&referrerAllArticles=true,슌이빠I구미,"1,378",2024-04-15 07:27:00,
1439233,코나.볼트 배터리 리콜 꼭 받으세요.,"배터리 화재위험성 있다는데, 리콜 안받으신분들이 900대정도 된다고합니다.https://naver.me/xmtMK2Dy",1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1439233&referrerAllArticles=true,철수IDS3e텐스I남양주,523,2024-04-14 06:46:00,
1437391,전기차 lib 화재 사고 데이타,"전기차 lib 화재 사고 데이타passenger ev lib fire incidents Global as of 30 th June 2023 EV HEV battery fires are very rare... here is what we have been able track & verify. data is not exhaustive승객 전기차 lib 화재 사건현재 전 세계적으로 EV HEV 배터리 화재는 매우 드뭅니다. 여기에서 우리가 추적하고 확인할 수 있었던 사항이 있습니다. 데이터가 완전하지 않음화재 위험이 매우 낮습니다10년동안 수백만 대의 전기차 BEV 중 단 수백 대만이비교를 위해 독일에서만 매년 약 6천만 대의 자동차 중 15,000건의 내연기관 화재가 발생합니다.",1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1437391&referrerAllArticles=true,톰I서울,741,2024-04-11 10:16:00,
1437074,소형 전기차 고민중입니다,안녕하세요.세컨 출퇴근용 왕복 50km1년에 한두번 편도 100키로 정도 주행리스트에 있는 차량1순위 / 미니 일렉트릭 중고 24년형2순위 / 푸조 e-2083순위 / 클리오 디젤주로 주행감각 핸들링 코너링에 중점을 두는 편입니다.타시는분들 의견 궁금합니다^^,1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1437074&referrerAllArticles=true,운동중I미정I서울,309,2024-04-10 19:20:00,
1436909,"[질문]
                                
                                

                                
                                
                                    iccu 리콜통지 문자","* 관련된 주제에 대해 미리 카페내 검색해 보셨습니까? : (네/아니오) 네* 전기차 종류, 지역 : 아이오닉5, 광주* 질문 내용 : iccu 리콜 통지를 어제 받았습니다리콜통지라면 당연 히 바로받아야하는게 맞지만리콜 후에도 동일하게 iccu 터지는 경험이나 충전속도가 느려졌다는 등의 글들을 보니 리콜 받을지 망설여지네요그런데 리콜 안받으면 차주한테 어떤 불이익이 생기는게 있을까요?",0,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=21771803&page=2&userDisplay=50&inCafeSearch=true&searchBy=0&query=%EC%BD%94%EB%82%98+%ED%99%94%EC%9E%AC&includeAll=&exclude=&include=&exact=&searchdate=2024-01-312024-06-30&media=0&sortBy=date&articleid=1436909&referrerAllArticles=true,웅자I아이오닉5I광주,603,2024-04-10 13:51:00,
